epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,7078.34,0.83337,0.52493,0.94224,0.81701,0.93826,0.84581,0.6828,0.86392,0.54857,0.92732,0.000212349,0.000212349,0.000212349
88,7161.97,0.80578,0.5148,0.94088,0.82947,0.93254,0.84976,0.68121,0.89331,0.53787,0.9272,0.000198202,0.000198202,0.000198202
89,7244.84,0.81936,0.51549,0.94296,0.82734,0.93254,0.85034,0.68862,0.86629,0.53546,0.92413,0.000184055,0.000184055,0.000184055
90,7326.28,0.79907,0.50816,0.93867,0.80969,0.92179,0.83935,0.68213,0.87885,0.53467,0.92222,0.000169908,0.000169908,0.000169908
91,7407.28,0.8271,0.4919,0.96333,0.82138,0.93087,0.84328,0.6806,0.87677,0.55934,0.92437,0.000155761,0.000155761,0.000155761
92,7487.13,0.81489,0.49094,0.95477,0.80491,0.94399,0.83953,0.67831,0.86755,0.5567,0.92483,0.000141614,0.000141614,0.000141614
93,7562.59,0.81299,0.48002,0.95415,0.80404,0.94557,0.8467,0.68337,0.87178,0.552,0.92324,0.000127467,0.000127467,0.000127467
94,7636.78,0.80142,0.48209,0.95182,0.80878,0.93254,0.83767,0.67447,0.86771,0.54413,0.92433,0.00011332,0.00011332,0.00011332
95,7710.84,0.8196,0.48216,0.94808,0.81912,0.92179,0.84297,0.68337,0.87023,0.55237,0.92515,9.91726e-05,9.91726e-05,9.91726e-05
96,7785.14,0.8139,0.47726,0.95235,0.82113,0.91975,0.84195,0.68216,0.87151,0.55323,0.92565,8.50255e-05,8.50255e-05,8.50255e-05
97,7860.11,0.79869,0.47567,0.94472,0.81892,0.9195,0.84536,0.68343,0.86859,0.54941,0.92626,7.08784e-05,7.08784e-05,7.08784e-05
98,7934.71,0.79865,0.46494,0.94148,0.80888,0.93254,0.84692,0.6835,0.86673,0.5435,0.92435,5.67313e-05,5.67313e-05,5.67313e-05
99,8009.16,0.79747,0.46501,0.94769,0.82002,0.92954,0.84578,0.68039,0.8652,0.54158,0.92282,4.25842e-05,4.25842e-05,4.25842e-05
100,8083.47,0.80995,0.45689,0.94415,0.81998,0.9294,0.84415,0.67845,0.8627,0.53902,0.92303,2.84371e-05,2.84371e-05,2.84371e-05
