date,filename,download,unit_download,download_unit_source,upload,unit_upload,upload_unit_source,det_conf,ocr_conf,qms_detected,qms_conf
2026-03-21T21:51:27.907555,cm_ord47658461-order_attachments_18516766.jpg,21795.0,Mbit/s,detected,133.11,Mbit/s,detected,0.7384,0.9597,True,0.7217
2026-03-21T21:51:28.867569,cm_ord47658468-order_attachments_18516513.jpg,1.0,Mbit/s,detected,233.09,Mbit/s,detected,0.6190,0.8926,True,0.7209
2026-03-21T21:51:29.713581,cm_ord47658487-order_attachments_18514727.jpg,232.58,Mbit/s,detected,285.86,Mbit/s,detected,0.7283,0.9939,True,0.6966
2026-03-21T21:51:30.683595,cm_ord47658669-order_attachments_18514776.jpg,1.0,Mbit/s,detected,1.0,Mbit/s,detected,0.6389,0.8821,True,0.7145
2026-03-21T21:51:31.773611,cm_ord47658768-order_attachments_18514825.jpg,1.0,Mbit/s,detected,249.45,Mbit/s,detected,0.7640,0.9762,True,0.9489
2026-03-21T21:51:32.772625,cm_ord47658912-order_attachments_18514499.jpg,1.0,Mbit/s,detected,36.47,Mbit/s,detected,0.6832,0.9380,True,0.6745
2026-03-21T21:51:33.689645,cm_ord47658966-order_attachments_18515125.jpg,160.46,Mbit/s,detected,260.24,Mbit/s,detected,0.6837,0.9940,True,0.7082
2026-03-21T21:51:34.651652,cm_ord47659032-order_attachments_18516697.jpg,33122.0,Mbit/s,detected,628.78,Mbit/s,detected,0.6950,0.8004,True,0.8888
2026-03-21T21:51:35.583667,cm_ord47659409-order_attachments_18516203.jpg,203.96,Mbit/s,detected,263.9,Mbit/s,detected,0.7472,0.9374,True,0.7164
2026-03-21T21:51:36.770685,cm_ord47659501-order_attachments_18514668.jpg,206.58,Mbit/s,detected,0.0,Mbit/s,detected,0.6389,0.7072,True,0.7817
2026-03-21T21:51:37.737697,cm_ord47659537-order_attachments_18515293.jpg,210.61,Mbit/s,detected,0.0,Mbit/s,detected,0.6341,0.8716,True,0.6491
2026-03-21T21:51:38.668711,cm_ord47659560-order_attachments_18515063.jpg,186.92,Mbit/s,detected,208.79,Mbit/s,detected,0.7576,0.8570,True,0.8179
2026-03-21T21:51:39.455722,cm_ord47659971-order_attachments_18514194.jpg,6.8,Mbit/s,detected,0.0,Mbit/s,detected,0.7274,0.7805,True,0.7149
2026-03-21T21:51:40.394737,cm_ord47660078-order_attachments_18514362.jpg,253.45,Mbit/s,detected,292.68,Mbit/s,detected,0.7098,0.9690,True,0.6981
2026-03-21T21:51:41.432752,cm_ord47660221-order_attachments_18513623.jpg,1.0,Mbit/s,detected,522.36,Mbit/s,detected,0.7694,0.9952,True,0.9270
2026-03-21T21:51:42.441766,cm_ord47660399-order_attachments_18514082.jpg,1.0,Mbit/s,detected,91.16,Mbit/s,detected,0.7393,0.9300,True,0.6723
2026-03-21T21:51:43.334778,cm_ord47660481-order_attachments_18515545.jpg,33742.0,Mbit/s,detected,0.0,Mbit/s,detected,0.6487,0.7975,True,0.7667
2026-03-21T21:51:44.191795,cm_ord47661427-order_attachments_18516367.jpg,27.42,Mbit/s,detected,39.67,Mbit/s,detected,0.7391,0.9981,True,0.7424
2026-03-21T21:51:45.267809,photo_2026-02-04_09-43-09.jpg,79.16,Mbit/s,detected,5.0,Mbit/s,detected,0.7202,0.9429,True,0.8941
2026-03-21T21:51:47.120833,photo_2026-02-04_09-43-10.jpg,79.16,Mbit/s,detected,94.19,Mbit/s,detected,0.7306,0.9997,True,0.9488
2026-03-21T21:51:49.209866,photo_2026-02-04_09-43-11.jpg,139.25,Mbit/s,detected,94.55,Mbit/s,detected,0.7464,0.9822,True,0.6698
2026-03-21T21:51:51.812903,photo_2026-02-04_09-43-12.jpg,82.91,Mbit/s,detected,134.69,Mbit/s,detected,0.7715,1.0000,True,0.8819
2026-03-21T21:51:53.782931,photo_2026-02-04_09-43-13.jpg,82.91,Mbit/s,detected,101.23,Mbit/s,detected,0.7892,0.9994,True,0.9449
2026-03-21T21:51:54.890946,photo_2026-02-04_09-43-14.jpg,82.91,Mbit/s,detected,1.0,Mbit/s,detected,0.6070,0.9796,True,0.9374
2026-03-21T21:51:56.190966,photo_2026-02-04_09-43-15.jpg,139.25,Mbit/s,detected,94.18,Mbit/s,detected,0.7332,0.9303,True,0.8327
2026-03-21T21:51:58.934008,photo_2026-02-04_09-43-16.jpg,5.0,Mbit/s,detected,9435.0,Mbit/s,copied,0.8572,0.2773,True,0.7661
2026-03-21T21:52:00.310026,photo_2026-02-04_09-43-17.jpg,116.06,Mbit/s,detected,91.37,Mbit/s,detected,0.6566,0.9905,True,0.9017
2026-03-21T21:52:01.992049,photo_2026-02-04_09-43-19.jpg,11606.0,Mbit/s,detected,87.42,Mbit/s,detected,0.7238,0.8447,True,0.6106
